,customer_unique_id,product_id,review_score
95,bf6e263ffc1f89999827615522b0aa45,54d9ac713e253fa1fae9c8003b011c2a,4
105,44e9a1246448bd68a2e3bf0f1966c57a,437c05a395e9e47f9762e677a7068ce7,5
106,b4d6e1b900d99b52e901860bc1f44e35,19c91ef95d509ea33eda93495c4d3481,5
110,694cb45ff29b603ac2acd51016770097,ec2d43cc59763ec91694573b31f1c29a,1
111,9dbb05f5577e862337b93feb8f358839,3fbc0ef745950c7932d5f2a446189725,5
118,9d0ac1cdbfc919d676e2c2377abb32c1,368c6c730842d78016ad823897a372db,4
122,fa7e6f153b7724fda5c1d7cc7b9ae4ec,6f3b5b605d91b7439c5e3f5a8dffeea7,3
123,8728c766c84eeda24b3e54fe6e632051,a50acd33ba7a8da8e9db65094fa990a4,5
125,29f61e71b90b55a988f45a66bb91bfb7,2136c70bbe723d338fab53da3c03e6dc,1
140,f32cdbbeca0aba5358bddc018dd12b09,e0d64dcfaa3b6db5c54ca298ae101d05,2
144,5ece49e012285b9003d084a4ea8a9c94,f4f67ccaece962d013a4e1d7dc3a61f7,5
152,9bbfdf9f7f65b58481e1ed110a2eed46,e44f675b60b3a3a2453ec36421e06f0f,4
153,0567f279c243671842613f581ed3462c,2b4609f8948be18874494203496bc318,5
154,30a7c7292c38ac22477fcb75306ac4ef,a92930c327948861c015c919a0bcb4a8,4
188,49d79c76cf12065b7a08103cdba3e1b8,165f86fe8b799a708a20ee4ba125c289,5
192,6e4188c01246d30b20d17a1ed42094fe,595fac2a385ac33a80bd5114aec74eb8,5
194,43676e9993577d1991036ea6720213de,64fb265487de2238627ce43fe8a67efc,5
195,8dc17b53543ee0ff19970896cfc6c750,f40876e0ef3cd5f9132b1f16b04b1346,5
201,a43149b43ab4253753f89fb6909d1371,154e7e31ebfa092203795c972e5804a6,4
241,4df9aee56fa602c72756abb22ee60b17,422879e10f46682990de24d770e7f83d,5
242,4df9aee56fa602c72756abb22ee60b17,422879e10f46682990de24d770e7f83d,5
244,4c592d97ec529a019883285afe424187,8c292ca193d326152e335d77176746f0,4
250,b5d37c728f9ea12eae24f87212cf90fa,3dd2a17168ec895c781a9191c1e95ad7,5
275,b6cdccfa64579c957a905fe68bd435c3,53759a2ecddad2bb87a079a1f1519f73,5
283,8c8fccc50566baaed602e3775d9d5665,a62e25e09e05e6faf31d90c6ec1aa3d1,4
287,5bd72a5ba72683010f8385cff8bb92fd,54d9ac713e253fa1fae9c8003b011c2a,5
291,09d4fed6320030973607491be508c075,2948658cb6abc82847412be7201bfc4c,3
312,6ec999e67c5e05c33554a4ba2db847bb,054515fd15bc1a2029f10de97ffa9120,2
328,027ef1dce56b52802c3d35cd5beda928,c7fd13b5e515bffdab855d0812842edb,5
329,4d0bd25308e9d7d0a301223f3d814f85,aca2eb7d00ea1a7b8ebd4e68314663af,5
352,cff4ca65539a18d2726699ecc1ba6aa7,fbce4c4cb307679d89a3bf3d3bb353b9,5
359,23f014663c70f3a8cf6f1be263c89933,3dd2a17168ec895c781a9191c1e95ad7,5
365,4914496b4e80679b99277e6a337715b7,e7cc48a9daff5436f63d3aad9426f28b,1
368,3078dfe83b099ae6ebe055be3abe0c0d,2ffdf10e724b958c0f7ea69e97d32f64,1
369,0fc4c0fc23ef45d16a0f32fbf9ae25cb,8c292ca193d326152e335d77176746f0,1
380,9801a2c53e40c68803158742466ad09a,b532349fe46b38fbc7bb3914c1bdae07,5
388,02a6a137ef7fe2414c9e14fc4d060790,aca2eb7d00ea1a7b8ebd4e68314663af,4
389,02a6a137ef7fe2414c9e14fc4d060790,aca2eb7d00ea1a7b8ebd4e68314663af,4
390,02a6a137ef7fe2414c9e14fc4d060790,aca2eb7d00ea1a7b8ebd4e68314663af,4
402,b55a113bb84fc10eaf58c6d09ec69794,22c5ddc22ea8cae84fc9917def682dc6,5
405,713de21fd33b1ed45f482d7ba22d51e2,d285360f29ac7fd97640bf0baef03de0,5
417,42d2b957a53f0240c81dee35a2463059,c6336fa91fbd87c359e44f5dca5a90ed,1
420,4a665a3b72a99832d62015e9721b1cac,ab1f9387c0627dd24000bfbc54fdeee0,5
425,272d474dde8221c368c57511d9150215,29427de7f8a9ee983d9dbc51cec569b4,4
436,d55417a83a73d1702b43988e63f0731a,e44f675b60b3a3a2453ec36421e06f0f,4
450,196276c2651ca4783688aa741b72d540,fb55982be901439613a95940feefd9ee,5
451,3030f6c7798037acd63d5d7e359b3f0b,617186c3d97ea56c9c683a8a3974e8c1,5
453,760caff27799b863021f2591c828dad7,99a4788cb24856965c36a24e339b6058,3
454,68238c59076a730633bd2e71a08bdf95,3dd2a17168ec895c781a9191c1e95ad7,4
466,184997aab6012d21021017a525de5206,a35a9f46dcee0a67c8c7ad8493eb4135,4
471,e1eb483ba2db6d6845f4b546e32c646c,42a2c92a0979a949ca4ea89ec5c7b934,5
472,e1eb483ba2db6d6845f4b546e32c646c,42a2c92a0979a949ca4ea89ec5c7b934,5
483,2a914bdfae6c0cc612a51e479acc0128,f1c7f353075ce59d8a6f3cf58f419c9c,4
485,928abb7e0e74f50a0b0136df20196cd1,362b773250263786dd58670d2df42c3b,1
