,split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_lr_all,param_reg_all
10,3.4608320377034354,3.452561961238383,3.4521984379656914,3.4551974789691697,0.003986997733454996,9,3.0025193817145683,2.9935738468573696,2.9932961953635715,2.9964631413118368,0.004283908530751124,25,2.458369175593058,0.007262701487445192,1.4105716546376545,0.1869013057540441,"{'n_factors': 5, 'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.4}",5,10,0.005,0.4
11,3.478814930876716,3.4702744578139457,3.4695845025517986,3.4728912970808197,0.004198101759672742,26,3.0457677380650234,3.037469317880193,3.0367478744781167,3.039994976807778,0.004092570467360563,37,2.516693433125814,0.05699211393924074,1.52589750289917,0.1877184307493163,"{'n_factors': 5, 'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.6}",5,10,0.005,0.6
12,3.454360144324284,3.4483472672399036,3.446379165528633,3.4496955256976065,0.0033948349283123426,6,2.9307714933690088,2.921167069459278,2.9224888786907064,2.9248091471729976,0.004250409708242888,4,4.930901288986206,0.01936680611168224,1.3996326128641765,0.186382959161903,"{'n_factors': 5, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.02}",5,20,0.002,0.02
13,3.469705514367402,3.4611382831719912,3.461275628446456,3.4640398086619495,0.00400665128560826,18,3.0119649695142474,3.003344866829903,3.00427974665571,3.006529860999953,0.003862106807929864,29,5.0214329560597735,0.07498147636134847,1.5363386472066243,0.15083758969853844,"{'n_factors': 5, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.4}",5,20,0.002,0.4
14,3.4874313672675834,3.4786494464064597,3.478432634630719,3.4815044827682544,0.00419187481825007,35,3.0538636224069946,3.0460580050262482,3.0462486500205572,3.048723425817933,0.0036355010758822447,45,4.874333302179973,0.03390113266874062,1.3587702910105388,0.18045611755298338,"{'n_factors': 5, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.6}",5,20,0.002,0.6
15,3.5474618180182174,3.543596599865887,3.5418638505079665,3.5443074227973574,0.0023399803405703564,61,2.919881135577616,2.911215056165322,2.9147210014416136,2.915272397728184,0.003559331537773043,2,4.843863884607951,0.015833435083780528,1.3499499162038167,0.17694805240759565,"{'n_factors': 5, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.02}",5,20,0.005,0.02
16,3.442873157709405,3.4356288850964063,3.434598356358028,3.4377001330546135,0.003681995421821437,1,2.9679387190996436,2.9595718239332762,2.958413981324024,2.961974841452315,0.004243506986851216,13,4.825073957443237,0.015621646427735711,1.3283942540486653,0.16476647916888573,"{'n_factors': 5, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.4}",5,20,0.005,0.4
17,3.461098368536563,3.4527858840631076,3.4521209121535468,3.455335054917739,0.004084310207922983,11,3.01460885658643,3.0060109199861396,3.005090794586081,3.008570190386217,0.004286472893196064,32,4.814794540405273,0.04559989475521295,1.4681785901387532,0.18153501844655826,"{'n_factors': 5, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.6}",5,20,0.005,0.6
18,3.541008642641545,3.5305358654700174,3.531118536721214,3.534221014944259,0.0048054686739497305,58,3.065424441546115,3.0574068311711473,3.0581407469323607,3.0603240065498745,0.0036189764620489363,54,1.3757743835449219,0.03097763990805066,1.2971396446228027,0.218246770217607,"{'n_factors': 10, 'n_epochs': 5, 'lr_all': 0.002, 'reg_all': 0.02}",10,5,0.002,0.02
19,3.558535655515,3.548529247324641,3.5481371166456612,3.5517340064951006,0.004812155695719747,64,3.1205038613857097,3.1137141527085332,3.1130508127825958,3.1157562756256127,0.0033679551537434873,66,1.3946794668833415,0.004199753755202718,1.333344539006551,0.17105060338243275,"{'n_factors': 10, 'n_epochs': 5, 'lr_all': 0.002, 'reg_all': 0.4}",10,5,0.002,0.4
20,3.570867942531281,3.561165841983609,3.560273211076784,3.5641023318638916,0.004797868503198478,68,3.152241107791301,3.1460376813325,3.1448637646012543,3.1477141845750185,0.0032366953803287988,70,1.4001673062642415,0.0014985426027573135,1.3536659876505535,0.1872848844290074,"{'n_factors': 10, 'n_epochs': 5, 'lr_all': 0.002, 'reg_all': 0.6}",10,5,0.002,0.6
21,3.4714416569431186,3.4646647714041627,3.4648110151103717,3.4669724811525513,0.00316074843358846,23,2.97140222264554,2.9630288965568843,2.963169934351398,2.965867017851274,0.003914404339591451,17,1.408910592397054,0.014028061492541953,1.3402096430460613,0.20752792123876912,"{'n_factors': 10, 'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.02}",10,5,0.005,0.02
22,3.494560136034693,3.485836096336016,3.4850336233822024,3.488476618584304,0.00431415338448494,42,3.047825000243519,3.0395069410929065,3.038678309026124,3.0420034167875163,0.004130357791356346,42,1.4027239481608074,0.006397395484165741,1.3094323476155598,0.22187511648123376,"{'n_factors': 10, 'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.4}",10,5,0.005,0.4
23,3.510592689213445,3.5019044070212875,3.500824851480713,3.504440649238482,0.004372417861355712,50,3.0871204922946087,3.0795996088057223,3.078369586648866,3.0816965625830655,0.003868031261801414,58,1.3394159475962322,0.08880045358184416,1.4637773036956787,0.17418076289141457,"{'n_factors': 10, 'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.6}",10,5,0.005,0.6
